account_id,label,isFake,profile_pic_id
1,fake,1,7409
2,fake,1,5840
3,fake,1,8423
4,fake,1,5191
5,fake,1,6494
6,fake,1,8429
7,fake,1,8931
8,fake,1,5666
9,fake,1,7310
10,fake,1,9218
11,fake,1,5528
12,fake,1,6861
13,fake,1,6595
14,fake,1,9366
15,fake,1,5878
16,fake,1,5412
17,fake,1,7639
18,fake,1,6712
19,fake,1,9586
20,fake,1,6355
21,fake,1,8975
22,fake,1,8488
23,fake,1,6723
24,fake,1,8372
25,fake,1,6180
26,fake,1,8747
27,fake,1,8261
28,fake,1,8303
29,fake,1,9348
30,fake,1,8958
31,fake,1,8510
32,fake,1,8874
33,fake,1,7243
34,fake,1,5064
35,fake,1,5102
36,fake,1,7715
37,fake,1,6313
38,fake,1,7768
39,fake,1,8092
40,fake,1,7298
41,fake,1,5997
42,fake,1,5023
43,fake,1,6774
44,fake,1,8666
45,fake,1,6870
46,fake,1,9167
47,fake,1,5193
48,fake,1,9095
49,fake,1,5437
50,fake,1,6967
51,fake,1,5750
52,fake,1,8487
53,fake,1,7222
54,fake,1,6334
55,fake,1,7445
56,fake,1,7502
57,fake,1,7499
58,fake,1,6022
59,fake,1,6846
60,fake,1,7823
61,fake,1,9469
62,fake,1,5432
63,fake,1,8056
64,fake,1,5390
65,fake,1,9531
66,fake,1,8376
67,fake,1,6984
68,fake,1,8172
69,fake,1,7101
70,fake,1,6391
71,fake,1,8914
72,fake,1,8220
73,fake,1,7063
74,fake,1,6777
75,fake,1,8993
76,fake,1,7467
77,fake,1,7346
78,fake,1,6098
79,fake,1,5766
80,fake,1,6684
81,fake,1,7724
82,fake,1,5170
83,fake,1,5527
84,fake,1,6127
85,fake,1,5071
86,fake,1,9326
87,fake,1,9222
88,fake,1,9440
89,fake,1,6381
90,fake,1,8612
91,fake,1,8455
92,fake,1,8482
93,fake,1,6682
94,fake,1,6836
95,fake,1,5141
96,fake,1,9303
97,fake,1,6956
98,fake,1,6686
99,fake,1,8643
100,fake,1,8331
101,fake,1,6742
102,fake,1,7062
103,fake,1,7832
104,fake,1,9109
105,fake,1,5897
106,fake,1,5312
107,fake,1,6509
108,fake,1,8110
109,fake,1,5549
110,fake,1,6544
111,fake,1,7595
112,fake,1,8511
113,fake,1,6437
114,fake,1,5896
115,fake,1,8286
116,fake,1,5695
117,fake,1,6338
118,fake,1,7109
119,fake,1,5090
120,fake,1,6741
121,fake,1,5458
122,fake,1,8954
123,fake,1,6234
124,fake,1,9077
125,fake,1,8865
126,fake,1,5806
127,fake,1,7103
128,fake,1,8618
129,fake,1,7607
130,fake,1,7973
131,fake,1,9250
132,fake,1,6864
133,fake,1,6484
134,fake,1,5691
135,fake,1,6954
136,fake,1,8663
137,fake,1,5779
138,fake,1,5101
139,fake,1,7155
140,fake,1,7721
141,fake,1,7918
142,fake,1,7772
143,fake,1,9097
144,fake,1,5287
145,fake,1,7865
146,fake,1,5018
147,fake,1,6220
148,fake,1,9015
149,fake,1,5943
150,fake,1,8603
151,fake,1,9191
152,fake,1,7198
153,fake,1,6505
154,fake,1,8128
155,fake,1,5105
156,fake,1,7367
157,fake,1,8683
158,fake,1,5215
159,fake,1,5736
160,fake,1,6036
161,fake,1,5908
162,fake,1,7277
163,fake,1,9460
164,fake,1,7740
165,fake,1,7766
166,fake,1,9031
167,fake,1,6087
168,fake,1,5396
169,fake,1,5524
170,fake,1,7619
171,fake,1,6923
172,fake,1,9229
173,fake,1,6350
174,fake,1,6099
175,fake,1,7579
176,fake,1,5002
177,fake,1,9596
178,fake,1,7045
179,fake,1,7202
180,fake,1,5307
181,fake,1,7959
182,fake,1,5340
183,fake,1,6356
184,fake,1,9599
185,fake,1,5449
186,fake,1,7185
187,fake,1,7067
188,fake,1,5277
189,fake,1,5837
190,fake,1,5435
191,fake,1,8640
192,fake,1,7546
193,fake,1,8493
194,fake,1,8902
195,fake,1,7082
196,fake,1,6344
197,fake,1,7923
198,fake,1,6768
199,fake,1,8873
200,fake,1,9319
201,real,0,1384
202,real,0,1882
203,real,0,4902
204,real,0,1525
205,real,0,4655
206,real,0,961
207,real,0,432
208,real,0,377
209,real,0,298
210,real,0,717
211,real,0,3988
212,real,0,1335
213,real,0,1174
214,real,0,1860
215,real,0,4176
216,real,0,4183
217,real,0,1251
218,real,0,3162
219,real,0,1779
220,real,0,4857
221,real,0,2230
222,real,0,4889
223,real,0,166
224,real,0,2981
225,real,0,4532
226,real,0,1089
227,real,0,4545
228,real,0,2721
229,real,0,810
230,real,0,834
231,real,0,1663
232,real,0,4517
233,real,0,2334
234,real,0,1447
235,real,0,3884
236,real,0,3208
237,real,0,999
238,real,0,372
239,real,0,16
240,real,0,1079
241,real,0,2472
242,real,0,2773
243,real,0,4387
244,real,0,3903
245,real,0,1348
246,real,0,696
247,real,0,1917
248,real,0,4099
249,real,0,2312
250,real,0,934
251,real,0,631
252,real,0,3993
253,real,0,1851
254,real,0,156
255,real,0,2885
256,real,0,1669
257,real,0,493
258,real,0,4756
259,real,0,2624
260,real,0,1195
261,real,0,1182
262,real,0,4884
263,real,0,4708
264,real,0,3565
265,real,0,4591
266,real,0,1760
267,real,0,3839
268,real,0,4487
269,real,0,19
270,real,0,2150
271,real,0,2622
272,real,0,2582
273,real,0,4683
274,real,0,1741
275,real,0,1454
276,real,0,4242
277,real,0,4447
278,real,0,4766
279,real,0,3769
280,real,0,1200
281,real,0,1618
282,real,0,239
283,real,0,2437
284,real,0,4847
285,real,0,3122
286,real,0,1604
287,real,0,2906
288,real,0,2107
289,real,0,4771
290,real,0,825
291,real,0,1244
292,real,0,858
293,real,0,2830
294,real,0,794
295,real,0,1092
296,real,0,2506
297,real,0,2802
298,real,0,1123
299,real,0,2000
300,real,0,2076
301,real,0,1135
302,real,0,4060
303,real,0,2975
304,real,0,3808
305,real,0,332
306,real,0,2139
307,real,0,552
308,real,0,4259
309,real,0,3586
310,real,0,4885
311,real,0,4607
312,real,0,295
313,real,0,2234
314,real,0,2476
315,real,0,2857
316,real,0,1148
317,real,0,2995
318,real,0,2901
319,real,0,1453
320,real,0,4133
321,real,0,3943
322,real,0,3610
323,real,0,1659
324,real,0,89
325,real,0,2166
326,real,0,3921
327,real,0,1350
328,real,0,873
329,real,0,915
330,real,0,4564
331,real,0,774
332,real,0,1059
333,real,0,1972
334,real,0,3214
335,real,0,1026
336,real,0,1492
337,real,0,2273
338,real,0,4964
339,real,0,1013
340,real,0,3678
341,real,0,2095
342,real,0,3043
343,real,0,2639
344,real,0,892
345,real,0,4856
346,real,0,855
347,real,0,181
348,real,0,4396
349,real,0,1406
350,real,0,1874
351,real,0,2465
352,real,0,1967
353,real,0,2945
354,real,0,1401
355,real,0,394
356,real,0,1080
357,real,0,1336
358,real,0,2263
359,real,0,1502
360,real,0,3548
361,real,0,2426
362,real,0,1533
363,real,0,2742
364,real,0,2094
365,real,0,3302
366,real,0,1162
367,real,0,701
368,real,0,257
369,real,0,3662
370,real,0,433
371,real,0,2518
372,real,0,4125
373,real,0,673
374,real,0,2798
375,real,0,2896
376,real,0,712
377,real,0,4529
378,real,0,3099
379,real,0,1078
380,real,0,3799
381,real,0,3260
382,real,0,693
383,real,0,1662
384,real,0,3608
385,real,0,4191
386,real,0,4119
387,real,0,490
388,real,0,4268
389,real,0,3289
390,real,0,1684
391,real,0,3885
392,real,0,4359
393,real,0,1555
394,real,0,4179
395,real,0,2055
396,real,0,3673
397,real,0,363
398,real,0,4782
399,real,0,3974
400,real,0,402
401,real,0,3972
402,real,0,164
403,real,0,4406
404,real,0,1018
405,real,0,203
406,real,0,3170
407,real,0,1
408,real,0,2935
409,real,0,2921
410,real,0,4755
411,real,0,3827
412,real,0,2709
413,real,0,3389
414,real,0,1230
415,real,0,3830
416,real,0,3018
417,real,0,4428
418,real,0,2044
419,real,0,918
420,real,0,594
421,real,0,3169
422,real,0,4951
423,real,0,23
424,real,0,1500
425,real,0,147
426,real,0,297
427,real,0,1535
428,real,0,118
429,real,0,3037
430,real,0,590
431,real,0,4919
432,real,0,349
433,real,0,1076
434,real,0,1291
435,real,0,1107
436,real,0,4816
437,real,0,252
438,real,0,4294
439,real,0,72
440,real,0,4151
441,real,0,62
442,real,0,3558
443,real,0,3503
444,real,0,4674
445,real,0,770
446,real,0,43
447,real,0,2873
448,real,0,3484
449,real,0,875
450,real,0,338
451,real,0,4982
452,real,0,4998
453,real,0,1199
454,real,0,3776
455,real,0,2894
456,real,0,1488
457,real,0,2160
458,real,0,4395
